Depth,AC,DEN,Ip,Pp
3327.25,91.744,2.557,8495.090687,49.83422012
3327.375,94.114,2.548,8252.017766,51.69434358
3327.5,94.956,2.536,8140.326046,52.31892928
3327.625,94.488,2.531,8164.516129,51.97991284
3327.75,93.565,2.533,8251.572703,51.29004759
3327.875,92.062,2.537,8399.530751,50.11176818
3328,90.842,2.544,8535.822637,49.10522592
3328.125,90.119,2.547,8614.449783,48.48753297
3328.25,89.387,2.547,8684.994462,47.84410287
3328.375,88.522,2.546,8766.417388,47.05880042
3328.5,88.245,2.544,8787.027027,46.80418277
3328.625,88.69,2.543,8739.501635,47.22179342
3328.75,89.844,2.543,8627.247229,48.26547463
3328.875,92.664,2.544,8367.987568,50.62307656
3329,95.573,2.545,8116.476411,52.80589655
3329.125,96.8,2.544,8010.446281,53.66090992
3329.25,97.195,2.543,7974.755903,53.93065991
3329.375,96.574,2.541,8019.723735,53.51425406
3329.5,95.555,2.539,8098.866621,52.80781798
3329.625,94.999,2.538,8143.058348,52.41274788
3329.75,94.576,2.538,8179.478938,52.10756267
3329.875,93.862,2.538,8241.699516,51.57880725
3330,93.062,2.54,8319.099095,50.9688576
3330.125,92.548,2.543,8375.182608,50.5684701
3330.25,92.133,2.545,8419.523949,50.24015655
3330.375,91.918,2.547,8445.849562,50.06980867
3330.5,92.171,2.545,8416.052771,50.27825403
3330.625,92.57,2.538,8356.728962,50.60084724
3330.75,93.01,2.531,8294.256532,50.95065699
3330.875,93.366,2.524,8239.778935,51.23021676
3331,93.208,2.518,8234.125826,51.11196677
3331.125,92.806,2.518,8269.792901,50.80209196
3331.25,92.279,2.521,8326.930287,50.38745397
3331.375,91.315,2.526,8431.526036,49.60391541
3331.5,90.143,2.533,8564.818122,48.61049824
3331.625,89.264,2.541,8676.474279,47.83609999
3331.75,88.403,2.545,8774.770087,47.05122784
3331.875,87.48,2.549,8881.289438,46.17919885
3332,87.266,2.553,8917.039855,45.97532919
3332.125,87.819,2.553,8860.888874,46.5122927
3332.25,88.846,2.55,8748.170993,47.47559036
3332.375,90.635,2.546,8562.043361,49.0609935
3332.5,91.821,2.54,8431.53527,50.05446578
3332.625,91.796,2.535,8417.229509,50.03780967
3332.75,91.137,2.533,8471.404589,49.49669946
3332.875,89.485,2.533,8627.796837,48.07221912
3333,87.951,2.538,8795.606645,46.66462523
3333.125,87.439,2.546,8874.996283,46.17796066
3333.25,87.457,2.551,8890.595378,46.19921701
3333.375,88.942,2.554,8752.436419,47.59756554
3333.5,92.173,2.549,8429.097458,50.36957838
3333.625,95.149,2.539,8133.424419,52.63894249
3333.75,98.06,2.535,7879.543137,54.6311114
3333.875,100.338,2.536,7703.689529,56.05259365
3334,99.812,2.548,7780.932152,55.73883649
3334.375,96.288,2.575,8151.171486,53.46407504
3334.5,95.768,2.564,8160.421017,53.10527172
3334.625,95.259,2.547,8149.629956,52.74741988
3334.75,94.583,2.537,8175.651016,52.26039668
3334.875,93.52,2.53,8245.765612,51.4671872
3335,92.658,2.526,8309.318138,50.80102741
3335.125,92.202,2.528,8357.024793,50.44149431
3335.25,92.192,2.531,8367.849705,50.43719578
3335.375,94.768,2.534,8150.042208,52.41435145
3335.5,99.995,2.537,7733.162658,55.89314299
3335.625,103.845,2.538,7449.394771,58.07701461
3335.75,106.8,2.536,7237.573034,59.57163144
3335.875,109.637,2.533,7041.951166,60.87689679
3336,112.163,2.529,6872.490928,61.94412438
3336.125,114.005,2.529,6761.450814,62.67196055
3336.25,115.573,2.532,6677.628858,63.26051511
3336.375,116.028,2.537,6664.577516,63.42856763
3336.5,114.135,2.543,6791.136812,62.73184634
3336.625,111.747,2.547,6947.171736,61.79199018
3336.75,108.97,2.548,7127.011104,60.60587901
3336.875,104.276,2.547,7444.911581,58.33918769
3337,97.183,2.548,7991.422368,54.14874212
3337.125,97.52,2.55,7970.057424,54.37618704
3337.25,98.099,2.552,7929.230675,54.7580669
3337.375,97.952,2.552,7941.13035,54.66641324
